timestamps,TP9,AF7,AF8,TP10,Right AUX
1727541951.977,159.668,-20.508,-19.531,75.684,0.000
1727541951.981,-92.773,-19.043,-20.020,-69.336,0.000
1727541951.985,-345.215,-20.508,-20.508,-211.426,0.000
1727541951.989,-66.406,-23.926,-22.461,-42.969,0.000
1727541951.993,226.074,-16.113,-26.367,132.812,0.000
1727541951.997,175.293,-13.184,-23.926,94.238,0.000
1727541952.001,-48.340,-14.648,-17.578,-45.410,0.000
1727541952.005,-333.984,-12.695,-25.391,-206.055,0.000
1727541952.008,-108.887,-12.207,-21.484,-71.777,0.000
1727541952.012,213.379,-16.113,-10.742,124.512,0.000
1727541952.016,186.523,-17.090,-14.160,105.469,0.000
1727541952.020,-18.555,-16.602,-16.113,-28.320,0.000
1727541952.024,-320.312,-23.926,-14.648,-210.449,0.000
1727541952.028,-144.043,-21.973,-16.113,-97.168,0.000
1727541952.032,194.824,-19.531,-20.020,115.234,0.000
1727541952.036,182.129,-18.066,-13.672,111.328,0.000
1727541952.040,0.000,-15.625,-17.578,5.371,0.000
1727541952.044,-309.082,-16.113,-33.691,-187.500,0.000
1727541952.048,-200.684,-17.090,-29.785,-120.117,0.000
1727541952.051,162.109,-19.531,-21.973,98.145,0.000
1727541952.055,187.012,-21.484,-16.113,106.934,0.000
1727541952.059,24.902,-22.461,-5.859,18.555,0.000
1727541952.063,-287.109,-21.973,-12.695,-172.363,0.000
1727541952.067,-233.398,-21.484,-19.531,-153.320,0.000
1727541952.071,140.137,-20.020,-19.531,77.148,0.000
1727541952.075,195.801,-21.484,-16.113,114.746,0.000
1727541952.079,49.805,-20.020,-13.672,25.879,0.000
1727541952.083,-265.625,-16.113,-22.949,-173.340,0.000
1727541952.087,-269.043,-13.672,-27.832,-186.523,0.000
1727541952.091,105.469,-18.066,-20.996,42.480,0.000
1727541952.094,192.871,-20.996,-13.672,95.703,0.000
1727541952.098,71.289,-20.508,-12.695,23.438,0.000
1727541952.102,-236.816,-23.438,-18.066,-163.086,0.000
1727541952.106,-306.641,-24.414,-20.508,-197.266,0.000
1727541952.110,69.824,-25.391,-22.949,39.062,0.000
1727541952.114,208.984,-25.879,-23.926,108.887,0.000
1727541952.118,93.750,-23.438,-24.902,39.062,0.000
1727541952.122,-220.215,-19.531,-25.879,-141.113,0.000
1727541952.126,-339.355,-20.020,-16.113,-210.938,0.000
1727541952.130,30.273,-22.949,-12.207,10.254,0.000
1727541952.134,202.637,-23.438,-10.254,115.234,0.000
1727541952.138,115.234,-24.414,-10.742,65.430,0.000
1727541952.141,-158.203,-23.926,-14.160,-102.539,0.000
1727541952.145,-343.262,-21.973,-17.578,-215.820,0.000
1727541952.149,-3.906,-21.484,-18.066,0.977,0.000
1727541952.153,221.191,-20.508,-19.043,132.324,0.000
1727541952.157,135.254,-21.973,-21.973,72.266,0.000
1727541952.161,-129.395,-23.438,-18.555,-82.520,0.000
1727541952.165,-348.633,-19.531,-11.230,-217.773,0.000
1727541952.169,-40.039,-21.484,-12.695,-38.574,0.000
1727541952.173,219.727,-22.461,-14.648,117.188,0.000
1727541952.177,157.715,-13.184,-11.230,84.961,0.000
1727541952.181,-94.727,-9.766,-10.742,-58.594,0.000
1727541952.184,-354.004,-12.207,-19.043,-220.703,0.000
1727541952.188,-77.637,-11.719,-17.090,-56.641,0.000
1727541952.192,213.379,-13.672,-8.789,118.164,0.000
1727541952.196,163.574,-12.695,-8.301,89.844,0.000
1727541952.200,-63.965,-10.254,-7.324,-38.086,0.000
1727541952.204,-339.844,-12.207,-4.883,-211.914,0.000
1727541952.208,-118.164,-12.695,-3.418,-84.473,0.000
1727541952.212,198.730,-16.113,-4.883,100.098,0.000
1727541952.216,162.598,-16.602,-11.719,71.289,0.000
1727541952.220,-54.688,-24.902,-12.695,-46.875,0.000
1727541952.224,-355.957,-23.926,-5.859,-222.168,0.000
1727541952.227,-193.848,-20.508,-6.348,-142.090,0.000
1727541952.231,144.531,-29.297,-9.277,59.570,0.000
1727541952.235,139.648,-32.715,1.953,57.617,0.000
1727541952.239,-62.500,-33.203,6.836,-60.547,0.000
1727541952.243,-388.672,-30.273,-2.441,-252.441,0.000
1727541952.247,-300.293,-39.551,2.930,-224.609,0.000
1727541952.251,46.387,-42.480,3.906,-36.621,0.000
1727541952.255,61.035,-38.086,3.906,-37.109,0.000
1727541952.259,-124.023,-42.480,10.742,-153.320,0.000
1727541952.263,-448.242,-49.316,9.766,-348.145,0.000
1727541952.267,-419.922,-55.176,8.789,-331.055,0.000
1727541952.270,-53.711,-59.570,15.137,-113.770,0.000
1727541952.274,1.465,-51.758,13.184,-97.168,0.000
1727541952.278,-155.273,-50.781,7.812,-184.082,0.000
1727541952.282,-465.820,-54.688,13.184,-367.676,0.000
1727541952.286,-486.816,-55.176,14.160,-385.254,0.000
1727541952.290,-109.863,-63.477,6.836,-151.855,0.000
1727541952.294,-9.766,-58.105,7.324,-99.121,0.000
1727541952.298,-138.184,-59.082,3.418,-172.363,0.000
1727541952.302,-436.523,-58.594,1.465,-341.309,0.000
1727541952.306,-513.672,-59.082,0.488,-386.719,0.000
1727541952.310,-131.836,-65.430,6.836,-153.320,0.000
1727541952.313,21.973,-63.965,10.742,-58.594,0.000
1727541952.317,-81.055,-67.871,-4.883,-124.512,0.000
1727541952.321,-367.676,-64.941,1.465,-285.645,0.000
1727541952.325,-501.465,-65.430,11.230,-356.445,0.000
1727541952.329,-136.719,-68.359,8.301,-143.066,0.000
1727541952.333,53.223,-62.988,0.488,-25.391,0.000
1727541952.337,-31.250,-57.129,-1.465,-69.336,0.000
1727541952.341,-295.898,-61.523,9.277,-219.727,0.000
1727541952.345,-475.098,-65.918,11.719,-324.707,0.000
1727541952.349,-131.348,-63.477,7.812,-119.629,0.000
1727541952.352,95.703,-59.570,3.906,14.648,0.000
1727541952.356,18.555,-65.430,4.395,-38.086,0.000
1727541952.360,-231.934,-70.312,7.812,-182.617,0.000
1727541952.364,-452.637,-67.871,1.465,-308.594,0.000
1727541952.368,-120.117,-59.082,-7.812,-103.516,0.000
1727541952.372,155.762,-51.758,-8.789,62.500,0.000
1727541952.376,79.590,-49.316,-1.465,25.879,0.000
1727541952.380,-155.273,-44.922,6.348,-107.422,0.000
1727541952.384,-399.902,-46.387,8.301,-258.301,0.000
1727541952.388,-125.000,-46.875,0.977,-85.938,0.000
1727541952.392,185.547,-41.504,-5.859,112.793,0.000
1727541952.395,153.809,-35.645,-14.648,92.773,0.000
1727541952.399,-53.223,-35.645,-45.898,-31.738,0.000
1727541952.403,-312.500,-32.715,-47.363,-182.129,0.000
1727541952.407,-89.844,-36.133,-24.902,-41.504,0.000
1727541952.411,250.977,-31.738,-50.781,174.316,0.000
1727541952.415,239.258,-8.789,-48.828,156.250,0.000
1727541952.419,34.180,-6.348,-18.066,29.297,0.000
1727541952.423,-263.184,-13.672,-18.066,-127.441,0.000
1727541952.427,-100.098,-14.648,-6.836,-35.645,0.000
1727541952.431,246.094,-19.043,-2.441,161.133,0.000
1727541952.434,253.906,-19.531,-14.648,167.969,0.000
1727541952.438,81.055,-15.137,-31.250,62.988,0.000
1727541952.442,-220.703,-9.277,-56.152,-117.676,0.000
1727541952.446,-90.332,5.371,-86.914,-35.645,0.000
1727541952.450,275.391,7.324,-66.895,179.688,0.000
1727541952.454,279.785,-12.207,-29.297,169.434,0.000
1727541952.458,114.746,-13.184,-20.508,72.754,0.000
1727541952.462,-182.617,-5.371,-25.879,-103.027,0.000
1727541952.466,-134.277,-2.441,-42.480,-65.430,0.000
1727541952.470,234.863,-1.465,-46.875,165.527,0.000
1727541952.474,300.293,-0.488,-52.734,202.637,0.000
1727541952.477,170.410,10.254,-68.848,129.395,0.000
1727541952.481,-137.207,13.672,-63.477,-49.805,0.000
1727541952.485,-170.410,8.789,-55.664,-75.684,0.000
1727541952.489,205.566,7.812,-83.496,146.484,0.000
1727541952.493,323.730,0.488,-104.004,218.262,0.000
1727541952.497,204.102,-7.324,-95.215,149.902,0.000
1727541952.501,-110.352,0.977,-69.824,-42.480,0.000
1727541952.505,-206.543,7.324,-35.645,-116.699,0.000
1727541952.509,145.996,3.418,-12.695,97.656,0.000
1727541952.513,291.016,0.488,-6.348,185.059,0.000
1727541952.517,191.895,5.859,-20.996,125.000,0.000
1727541952.520,-107.422,5.371,-31.250,-52.246,0.000
1727541952.524,-250.488,1.953,-31.250,-141.113,0.000
1727541952.528,101.074,3.906,-46.387,85.449,0.000
1727541952.532,282.227,1.953,-59.570,197.754,0.000
1727541952.536,190.430,0.977,-61.523,143.555,0.000
1727541952.540,-85.449,-1.953,-59.570,-20.020,0.000
1727541952.544,-268.066,-4.883,-51.758,-134.766,0.000
1727541952.548,62.988,-5.371,-46.875,61.035,0.000
1727541952.552,281.738,-8.301,-50.781,186.523,0.000
1727541952.556,201.172,-6.348,-57.129,137.207,0.000
1727541952.560,-59.570,-6.836,-54.199,-16.113,0.000
1727541952.563,-287.109,-7.812,-44.434,-157.715,0.000
1727541952.567,13.184,-3.906,-39.062,14.648,0.000
1727541952.571,278.809,1.953,-43.945,174.805,0.000
1727541952.575,220.703,0.000,-42.969,143.066,0.000
1727541952.579,-18.066,0.000,-35.156,-1.953,0.000
1727541952.583,-283.691,-1.465,-27.832,-164.062,0.000
1727541952.587,-26.367,-3.906,-38.574,-11.719,0.000
1727541952.591,275.391,-1.953,-61.035,163.086,0.000
1727541952.595,224.121,-7.324,-52.246,131.836,0.000
1727541952.599,5.371,-11.719,-33.691,14.160,0.000
1727541952.603,-276.367,-7.812,-27.344,-149.902,0.000
1727541952.606,-68.848,-0.488,-29.785,-34.668,0.000
1727541952.610,256.348,4.883,-25.879,164.551,0.000
1727541952.614,231.934,3.418,-15.625,148.438,0.000
1727541952.618,28.320,-2.441,-26.855,33.203,0.000
1727541952.622,-278.320,-7.324,-52.734,-148.438,0.000
1727541952.626,-115.723,-9.766,-44.434,-67.383,0.000
1727541952.630,231.445,-10.254,-14.648,142.578,0.000
1727541952.634,229.004,-14.648,-17.578,136.230,0.000
1727541952.638,57.617,-17.090,-41.504,27.832,0.000
1727541952.642,-248.535,-12.207,-44.922,-145.508,0.000
1727541952.646,-158.203,-12.207,-36.133,-84.961,0.000
1727541952.649,201.172,-13.184,-23.926,124.512,0.000
1727541952.653,224.609,-10.742,-5.859,136.230,0.000
1727541952.657,62.012,-6.836,1.953,30.762,0.000
1727541952.661,-243.164,-5.859,4.395,-153.809,0.000
1727541952.665,-211.914,-7.324,-0.488,-127.441,0.000
1727541952.669,164.551,-6.836,-1.953,90.332,0.000
1727541952.673,237.793,-8.301,-3.418,133.301,0.000
1727541952.677,100.098,-7.812,-7.324,52.734,0.000
1727541952.681,-210.449,-5.371,-11.719,-129.883,0.000
1727541952.685,-235.352,-6.348,-20.996,-146.973,0.000
1727541952.689,140.625,-4.883,-21.973,78.613,0.000
1727541952.692,236.816,-4.883,-11.230,135.254,0.000
1727541952.696,113.770,-7.812,-6.348,52.734,0.000
1727541952.700,-186.035,-6.348,-6.348,-129.883,0.000
1727541952.704,-276.855,-11.230,-12.207,-173.828,0.000
1727541952.708,90.332,-10.254,-24.414,64.941,0.000
1727541952.712,229.980,-6.348,-33.691,140.137,0.000
1727541952.716,122.559,-6.348,-20.020,65.918,0.000
1727541952.720,-160.645,-6.348,2.441,-88.379,0.000
1727541952.724,-311.523,-7.812,3.906,-177.246,0.000
1727541952.728,43.457,-5.859,-2.441,24.902,0.000
1727541952.732,237.305,-8.301,-3.418,139.648,0.000
1727541952.735,155.762,-9.277,-4.883,102.051,0.000
1727541952.739,-108.398,-4.395,-11.230,-54.199,0.000
1727541952.743,-296.387,-1.953,-27.344,-169.922,0.000
1727541952.747,13.184,-8.789,-41.016,17.578,0.000
1727541952.751,219.727,-17.090,-24.414,143.555,0.000
1727541952.755,148.438,-15.137,5.859,93.750,0.000
1727541952.759,-100.586,-16.113,18.066,-74.219,0.000
1727541952.763,-330.078,-22.949,8.301,-211.426,0.000
1727541952.767,-37.598,-25.391,2.441,-24.414,0.000
1727541952.771,229.980,-20.508,-2.930,132.812,0.000
1727541952.774,172.363,-14.648,-10.742,93.262,0.000
1727541952.778,-63.965,-17.090,-14.648,-49.805,0.000
1727541952.782,-328.613,-21.973,-17.090,-210.938,0.000
1727541952.786,-82.520,-20.020,-19.043,-52.246,0.000
1727541952.790,222.656,-17.090,-14.160,131.348,0.000
1727541952.794,179.199,-22.461,-9.277,98.145,0.000
1727541952.798,-44.434,-27.832,-12.695,-27.832,0.000
1727541952.802,-322.754,-26.855,-17.578,-202.148,0.000
1727541952.806,-115.234,-26.855,-12.695,-83.008,0.000
1727541952.810,212.891,-24.414,-7.324,118.652,0.000
1727541952.814,191.406,-27.344,-10.742,97.168,0.000
1727541952.817,-4.395,-28.320,-11.230,-20.508,0.000
1727541952.821,-305.176,-28.320,-12.695,-200.195,0.000
1727541952.825,-162.598,-36.621,-21.973,-116.211,0.000
1727541952.829,191.895,-31.738,-28.320,96.680,0.000
1727541952.833,199.707,-22.949,-15.625,103.027,0.000
1727541952.837,23.438,-20.020,-13.184,3.418,0.000
1727541952.841,-286.133,-17.090,-17.090,-172.363,0.000
1727541952.845,-191.895,-16.113,-11.230,-121.582,0.000
1727541952.849,172.852,-18.066,-12.695,94.238,0.000
1727541952.853,197.754,-23.926,-3.418,107.910,0.000
1727541952.857,49.316,-26.367,9.766,11.230,0.000
1727541952.860,-264.648,-24.902,5.859,-166.992,0.000
1727541952.864,-244.141,-23.926,-10.254,-148.438,0.000
1727541952.868,138.184,-25.879,-14.160,79.102,0.000
1727541952.872,208.984,-23.926,-0.977,115.723,0.000
1727541952.876,73.242,-19.043,7.812,40.527,0.000
1727541952.880,-230.957,-18.555,-0.488,-142.090,0.000
1727541952.884,-266.113,-14.648,-21.973,-168.945,0.000
1727541952.888,105.957,-16.602,-13.672,59.082,0.000
1727541952.892,208.984,-17.090,-0.488,113.770,0.000
1727541952.896,94.727,-11.719,-1.953,49.316,0.000
1727541952.900,-198.242,-16.113,-3.906,-115.723,0.000
1727541952.903,-296.875,-22.461,-11.719,-179.199,0.000
1727541952.907,67.383,-23.926,-27.832,29.785,0.000
1727541952.911,216.797,-27.832,-24.902,111.328,0.000
1727541952.915,118.164,-28.809,-10.254,54.199,0.000
1727541952.919,-170.410,-26.855,-18.066,-111.816,0.000
1727541952.923,-318.359,-27.344,-23.926,-198.730,0.000
1727541952.927,37.109,-22.461,-19.043,14.648,0.000
1727541952.931,226.074,-19.043,-17.090,123.535,0.000
1727541952.935,140.137,-19.531,-12.207,74.219,0.000
1727541952.939,-134.277,-17.578,-14.648,-86.914,0.000
1727541952.943,-329.590,-18.066,-23.438,-206.055,0.000
1727541952.947,-3.906,-18.066,-20.020,2.930,0.000
1727541952.950,225.586,-20.020,-10.254,149.414,0.000
1727541952.954,156.738,-21.973,-3.906,94.238,0.000
1727541952.958,-93.262,-20.508,-3.418,-53.711,0.000
1727541952.962,-329.102,-17.090,-10.254,-196.777,0.000
1727541952.966,-37.109,-10.742,-15.137,-22.949,0.000
1727541952.970,233.887,-13.672,-13.672,139.648,0.000
1727541952.974,168.457,-23.926,-8.301,91.309,0.000
1727541952.978,-71.289,-22.461,-10.254,-54.199,0.000
1727541952.982,-332.031,-17.578,-16.113,-210.938,0.000
1727541952.986,-89.844,-26.367,-15.625,-62.988,0.000
1727541952.990,203.613,-30.273,-17.578,110.352,0.000
1727541952.993,163.086,-22.949,-26.367,90.332,0.000
1727541952.997,-41.016,-12.207,-17.090,-36.133,0.000
1727541953.001,-322.754,-12.695,-2.930,-204.102,0.000
1727541953.005,-123.047,-14.160,-9.277,-79.102,0.000
1727541953.009,210.449,-12.207,-11.719,121.094,0.000
1727541953.013,182.617,-12.695,-5.859,107.422,0.000
1727541953.017,-6.836,-12.207,-9.766,-13.184,0.000
1727541953.021,-304.688,-17.090,-29.297,-194.336,0.000
1727541953.025,-166.992,-22.461,-25.879,-114.258,0.000
1727541953.029,194.336,-24.414,-4.395,98.145,0.000
1727541953.032,192.383,-27.344,0.977,94.238,0.000
1727541953.036,6.836,-31.250,-0.488,-6.836,0.000
1727541953.040,-296.387,-28.320,-7.812,-188.477,0.000
1727541953.044,-207.031,-24.414,-21.973,-145.508,0.000
1727541953.048,171.875,-17.090,-24.414,80.566,0.000
1727541953.052,210.938,-16.602,-11.230,104.492,0.000
1727541953.056,49.316,-23.926,-22.949,12.207,0.000
1727541953.060,-261.719,-25.391,-25.879,-171.387,0.000
1727541953.064,-239.746,-26.855,-17.578,-162.109,0.000
1727541953.068,138.184,-25.391,-20.508,62.988,0.000
1727541953.072,215.820,-23.926,-14.160,115.234,0.000
1727541953.075,75.195,-23.926,-10.742,37.598,0.000
1727541953.079,-231.934,-22.461,-20.508,-149.414,0.000
1727541953.083,-270.508,-23.438,-27.344,-165.039,0.000
1727541953.087,98.633,-24.902,-28.809,62.500,0.000
1727541953.091,207.520,-32.227,-32.227,119.141,0.000
1727541953.095,94.238,-34.180,-28.809,45.898,0.000
1727541953.099,-196.777,-26.367,-18.555,-123.535,0.000
1727541953.103,-296.875,-20.996,-33.203,-180.664,0.000
1727541953.107,67.383,-21.973,-49.805,42.969,0.000
1727541953.111,224.121,-25.391,-23.926,131.836,0.000
1727541953.115,114.258,-25.391,-5.371,54.688,0.000
1727541953.118,-180.176,-25.391,-8.301,-111.328,0.000
1727541953.122,-327.148,-28.809,-7.324,-205.078,0.000
1727541953.126,21.973,-34.180,-6.836,0.000,0.000
1727541953.130,215.820,-36.133,-15.625,129.395,0.000
1727541953.134,128.418,-34.668,-19.531,76.172,0.000
1727541953.138,-143.555,-38.086,-18.555,-86.914,0.000
1727541953.142,-333.984,-34.180,-20.508,-194.824,0.000
1727541953.146,-14.648,-26.367,-25.391,1.953,0.000
1727541953.150,214.844,-24.414,-18.555,132.324,0.000
1727541953.154,147.461,-21.973,-6.836,85.938,0.000
1727541953.158,-104.980,-23.926,-19.531,-61.523,0.000
1727541953.161,-343.262,-24.902,-30.762,-206.543,0.000
1727541953.165,-54.688,-22.949,-20.508,-38.086,0.000
1727541953.169,221.680,-18.555,-9.766,122.559,0.000
1727541953.173,163.574,-14.160,-20.508,89.844,0.000
1727541953.177,-66.895,-16.602,-30.762,-41.504,0.000
1727541953.181,-333.496,-19.531,-20.020,-204.102,0.000
1727541953.185,-89.844,-16.113,-6.348,-62.012,0.000
1727541953.189,229.492,-10.742,-7.812,136.719,0.000
1727541953.193,184.082,-15.625,-9.766,107.422,0.000
1727541953.197,-29.297,-15.137,-6.836,-29.297,0.000
1727541953.200,-304.688,-10.254,-14.648,-202.148,0.000
1727541953.204,-116.211,-8.789,-26.855,-85.449,0.000
1727541953.208,212.402,-8.301,-23.926,117.676,0.000
1727541953.212,189.453,-11.230,-11.230,103.027,0.000
1727541953.216,-5.859,-15.137,-7.324,-0.977,0.000
1727541953.220,-306.152,-14.648,-8.789,-181.152,0.000
1727541953.224,-165.039,-14.160,-15.625,-108.398,0.000
1727541953.228,188.965,-15.137,-23.926,98.633,0.000
1727541953.232,192.383,-18.066,-22.949,100.586,0.000
1727541953.236,26.367,-21.484,-24.902,2.441,0.000
1727541953.240,-289.551,-22.461,-26.855,-194.336,0.000
1727541953.243,-219.238,-17.090,-24.414,-150.391,0.000
1727541953.247,154.785,-15.625,-28.809,83.984,0.000
1727541953.251,199.219,-16.113,-26.367,103.516,0.000
1727541953.255,55.176,-15.137,-22.949,13.184,0.000
1727541953.259,-249.023,-17.578,-15.137,-158.203,0.000
1727541953.263,-246.094,-23.926,-13.184,-147.461,0.000
1727541953.267,126.465,-22.461,-26.855,70.801,0.000
1727541953.271,213.867,-22.949,-11.230,115.723,0.000
1727541953.275,82.031,-28.809,2.441,37.598,0.000
1727541953.279,-229.004,-22.461,-0.977,-147.461,0.000
1727541953.283,-281.738,-19.043,-12.695,-187.988,0.000
1727541953.286,93.262,-18.555,-19.531,39.062,0.000
1727541953.290,212.891,-14.648,-19.043,110.352,0.000
1727541953.294,95.215,-17.578,-24.414,40.527,0.000
1727541953.298,-200.684,-24.414,-19.043,-129.395,0.000
1727541953.302,-314.453,-24.902,-9.766,-197.266,0.000
1727541953.306,49.316,-20.508,-10.742,19.043,0.000
1727541953.310,212.891,-21.484,-12.695,118.164,0.000
1727541953.314,115.723,-18.555,-13.672,55.176,0.000
1727541953.318,-166.016,-20.996,-13.184,-117.188,0.000
1727541953.322,-325.195,-26.855,-1.953,-198.242,0.000
1727541953.326,24.902,-21.484,-6.348,17.578,0.000
1727541953.329,226.562,-11.719,-8.789,121.094,0.000
1727541953.333,145.996,-13.184,-5.371,64.941,0.000
1727541953.337,-125.977,-16.602,-16.113,-87.891,0.000
1727541953.341,-342.773,-13.672,-18.555,-216.309,0.000
1727541953.345,-27.832,-16.113,-22.461,-33.691,0.000
1727541953.349,219.727,-17.090,-36.133,114.746,0.000
1727541953.353,151.367,-16.113,-24.414,83.008,0.000
1727541953.357,-99.121,-20.020,-8.789,-61.035,0.000
1727541953.361,-334.473,-20.508,-10.254,-214.844,0.000
1727541953.365,-56.641,-19.531,-10.254,-51.758,0.000
1727541953.369,215.332,-22.949,-14.648,120.117,0.000
1727541953.372,164.062,-20.508,-39.062,85.938,0.000
1727541953.376,-63.965,-19.531,-39.551,-50.781,0.000
1727541953.380,-338.867,-24.414,-9.277,-211.426,0.000
1727541953.384,-106.445,-24.902,-1.465,-76.660,0.000
1727541953.388,210.938,-18.555,-11.719,108.398,0.000
1727541953.392,171.387,-16.113,-14.648,85.449,0.000
1727541953.396,-46.875,-20.996,-12.207,-40.527,0.000
1727541953.400,-337.402,-24.414,-20.996,-205.078,0.000
1727541953.404,-150.391,-21.973,-23.438,-88.379,0.000
1727541953.408,190.918,-18.555,-19.531,104.004,0.000
1727541953.412,169.922,-20.020,-20.996,91.797,0.000
1727541953.415,-25.879,-22.461,-17.578,-21.973,0.000
1727541953.419,-326.660,-22.461,-16.113,-206.543,0.000
1727541953.423,-193.359,-17.578,-21.973,-128.906,0.000
1727541953.427,167.969,-15.137,-24.414,81.543,0.000
1727541953.431,196.289,-12.695,-25.879,98.633,0.000
1727541953.435,27.344,-12.207,-31.250,4.395,0.000
1727541953.439,-292.969,-16.602,-22.949,-182.617,0.000
1727541953.443,-216.309,-16.602,-9.766,-139.160,0.000
1727541953.447,158.203,-21.973,-13.672,81.543,0.000
1727541953.451,210.449,-23.438,-15.625,114.746,0.000
1727541953.455,62.012,-23.438,-11.230,35.645,0.000
1727541953.458,-251.465,-17.578,-15.137,-146.484,0.000
1727541953.462,-245.605,-14.648,-23.926,-143.555,0.000
1727541953.466,129.883,-18.066,-20.020,72.266,0.000
1727541953.470,210.938,-19.531,-21.973,119.141,0.000
1727541953.474,80.078,-20.020,-24.414,50.293,0.000
1727541953.478,-228.027,-17.578,-21.973,-136.719,0.000
1727541953.482,-284.180,-15.625,-31.250,-172.363,0.000
1727541953.486,95.703,-13.184,-29.785,60.547,0.000
1727541953.490,225.586,-13.672,-24.414,137.695,0.000
1727541953.494,116.211,-13.672,-22.949,69.824,0.000
1727541953.497,-174.316,-12.207,-20.508,-109.375,0.000
1727541953.501,-291.016,-13.672,-19.043,-180.664,0.000
1727541953.505,64.453,-16.602,-20.020,41.504,0.000
1727541953.509,230.957,-14.160,-37.598,134.277,0.000
1727541953.513,130.859,-12.207,-46.387,71.289,0.000
1727541953.517,-147.949,-10.742,-34.668,-85.449,0.000
1727541953.521,-309.570,-12.695,-27.832,-190.430,0.000
1727541953.525,26.367,-16.602,-15.137,6.836,0.000
1727541953.529,229.004,-15.137,-22.949,124.512,0.000
1727541953.533,148.438,-14.160,-45.410,79.590,0.000
1727541953.537,-119.141,-12.695,-31.250,-66.895,0.000
1727541953.540,-328.613,-14.160,-21.484,-195.801,0.000
1727541953.544,-19.531,-22.461,-25.879,-16.113,0.000
1727541953.548,221.191,-24.414,-26.855,130.371,0.000
1727541953.552,156.738,-20.508,-30.273,87.402,0.000
1727541953.556,-93.262,-15.625,-33.203,-67.871,0.000
1727541953.560,-344.238,-21.484,-37.598,-215.820,0.000
1727541953.564,-61.035,-24.414,-30.762,-44.434,0.000
1727541953.568,226.074,-22.949,-27.344,123.047,0.000
1727541953.572,170.410,-21.973,-33.203,87.402,0.000
1727541953.576,-55.664,-21.973,-26.367,-41.016,0.000
1727541953.579,-329.102,-24.414,-27.344,-201.660,0.000
1727541953.583,-98.633,-24.414,-31.738,-59.082,0.000
1727541953.587,219.727,-23.926,-26.367,134.766,0.000
1727541953.591,185.059,-20.508,-35.645,116.211,0.000
1727541953.595,-30.273,-15.625,-48.828,-13.184,0.000
1727541953.599,-325.684,-18.066,-48.340,-199.707,0.000
1727541953.603,-142.090,-22.949,-36.133,-93.262,0.000
1727541953.607,194.336,-25.879,-25.879,109.863,0.000
1727541953.611,185.059,-28.809,-20.996,105.957,0.000
1727541953.615,-2.930,-28.320,-21.973,-9.277,0.000
1727541953.619,-310.059,-26.367,-22.461,-191.406,0.000
1727541953.622,-186.035,-24.902,-25.391,-109.375,0.000
1727541953.626,177.246,-25.879,-36.621,99.121,0.000
1727541953.630,201.172,-25.391,-33.691,110.352,0.000
1727541953.634,32.227,-23.926,-33.691,12.207,0.000
1727541953.638,-285.156,-29.297,-39.551,-184.082,0.000
1727541953.642,-223.145,-31.250,-36.621,-145.996,0.000
1727541953.646,157.715,-26.855,-31.250,88.867,0.000
1727541953.650,212.891,-24.902,-24.902,123.535,0.000
1727541953.654,59.570,-24.902,-28.320,35.156,0.000
1727541953.658,-256.348,-25.391,-31.250,-156.738,0.000
1727541953.662,-254.395,-25.391,-24.902,-158.691,0.000
1727541953.665,124.023,-27.832,-24.414,73.730,0.000
1727541953.669,210.938,-28.809,-34.668,123.535,0.000
1727541953.673,85.449,-28.809,-40.039,47.852,0.000
1727541953.677,-219.238,-25.391,-39.062,-132.812,0.000
1727541953.681,-288.086,-22.461,-47.852,-180.664,0.000
1727541953.685,88.379,-24.414,-42.480,42.480,0.000
1727541953.689,216.309,-23.926,-23.926,123.535,0.000
1727541953.693,109.375,-19.043,-27.344,57.617,0.000
1727541953.697,-181.641,-21.973,-33.691,-111.816,0.000
1727541953.701,-301.758,-23.438,-31.250,-180.176,0.000
1727541953.705,62.988,-20.508,-27.344,30.273,0.000
1727541953.708,237.793,-21.973,-26.367,133.789,0.000
1727541953.712,147.461,-22.949,-29.785,81.055,0.000
1727541953.716,-128.906,-20.996,-34.668,-88.379,0.000
1727541953.720,-304.199,-18.555,-43.945,-199.219,0.000
1727541953.724,26.367,-22.949,-57.129,6.348,0.000
1727541953.728,234.375,-22.461,-59.082,131.836,0.000
1727541953.732,149.902,-23.438,-54.688,77.148,0.000
1727541953.736,-120.605,-23.926,-41.016,-70.312,0.000
1727541953.740,-332.031,-18.555,-23.438,-196.777,0.000
1727541953.744,-20.996,-18.066,-20.996,-4.395,0.000
1727541953.748,229.004,-16.113,-20.996,151.855,0.000
1727541953.751,166.016,-14.648,-20.020,102.539,0.000
1727541953.755,-78.125,-15.137,-29.785,-43.457,0.000
1727541953.759,-326.172,-17.090,-40.039,-189.941,0.000
1727541953.763,-56.152,-17.578,-40.039,-30.762,0.000
1727541953.767,232.422,-18.555,-39.551,145.508,0.000
1727541953.771,173.828,-21.484,-41.016,105.957,0.000
1727541953.775,-52.246,-22.949,-36.133,-28.320,0.000
1727541953.779,-324.707,-29.297,-25.391,-187.012,0.000
1727541953.783,-106.445,-39.062,-28.809,-62.012,0.000
1727541953.787,209.961,-43.945,-35.645,128.906,0.000
1727541953.791,187.500,-36.133,-36.621,120.605,0.000
1727541953.794,-13.184,-35.156,-38.574,-5.371,0.000
1727541953.798,-311.035,-37.109,-42.480,-186.035,0.000
